Order ID,Product Name,SKU,Quantity,Product Price,Shipping Fee Paid by Customer,Actual Shipping Fee Charged by Platform,Platform Commission Fee,Voucher Discount,Payout Amount,Status
ORD-2026-0245,Silicone Phone Case iPhone 15,CAS-009,1,14.99,12.5,12.5,0.75,0,26.74,Completed
ORD-2026-0246,Waterproof Sports Smartwatch,WTC-006,1,79.99,5.7,5.7,4,0,81.69,Completed
ORD-2026-0247,Waterproof Sports Smartwatch,WTC-006,1,79.99,7.9,7.9,4,0,83.89,Completed
ORD-2026-0248,Adjustable Laptop Stand,STD-010,1,34.99,7.4,7.4,1.75,0,40.64,Completed
ORD-2026-0249,Ultra-Wide USB-C Monitor,MON-004,1,299.99,3.4,3.4,15,5,283.39,Completed
ORD-2026-0250,Ultra-Wide USB-C Monitor,MON-004,1,299.99,9.6,9.6,15,0,294.59,Completed
ORD-2026-0251,Noise Cancelling Headphones,HDP-008,1,129.99,10.2,10.2,6.5,5,128.69,Completed
ORD-2026-0252,Waterproof Sports Smartwatch,WTC-006,1,79.99,7,7,4,0,82.99,Completed
ORD-2026-0253,Mechanical Gaming Keyboard,KEY-003,1,89.99,6.4,25.1,4.5,0,91.89,Completed
ORD-2026-0254,Ergonomic Office Chair,CHR-002,1,149.99,11.4,11.4,7.5,0,153.89,Completed
ORD-2026-0255,Ultra-Wide USB-C Monitor,MON-004,1,299.99,8.2,8.2,15,5,288.19,Completed
ORD-2026-0256,Ergonomic Office Chair,CHR-002,2,299.98,4.4,4.4,15,0,289.38,Completed
ORD-2026-0257,Fast Charging Cable Type-C,CAB-005,1,19.99,6,6,1,10,14.99,Completed
ORD-2026-0258,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5.5,5.5,0.75,0,19.74,Completed
ORD-2026-0259,Premium Wireless Earbuds,EAR-001,1,59.99,10.5,10.5,3,0,67.49,Completed
ORD-2026-0260,Ergonomic Office Chair,CHR-002,1,149.99,8.5,8.5,7.5,0,150.99,Completed
ORD-2026-0261,Ultra-Wide USB-C Monitor,MON-004,1,299.99,4.8,4.8,15,0,289.79,Completed
ORD-2026-0262,Adjustable Laptop Stand,STD-010,1,34.99,3,3,1.75,0,36.24,Completed
ORD-2026-0263,Ultra-Wide USB-C Monitor,MON-004,1,299.99,11.4,11.4,15,0,296.39,Completed
ORD-2026-0264,Waterproof Sports Smartwatch,WTC-006,1,79.99,5.3,5.3,4,0,81.29,Completed
ORD-2026-0265,Adjustable Laptop Stand,STD-010,1,34.99,6.5,6.5,1.75,0,39.74,Completed
ORD-2026-0266,Waterproof Sports Smartwatch,WTC-006,1,79.99,3.5,3.5,4,0,79.49,Completed
ORD-2026-0267,Adjustable Laptop Stand,STD-010,1,34.99,8.2,8.2,1.75,0,41.44,Completed
ORD-2026-0268,Premium Wireless Earbuds,EAR-001,1,59.99,4.2,4.2,3,0,61.19,Completed
ORD-2026-0269,Noise Cancelling Headphones,HDP-008,1,129.99,8.1,8.1,6.5,5,126.59,Completed
ORD-2026-0270,Ultra-Wide USB-C Monitor,MON-004,1,299.99,8.4,8.4,15,0,293.39,Completed
ORD-2026-0271,Ultra-Wide USB-C Monitor,MON-004,1,299.99,3.1,3.1,15,0,288.09,Completed
ORD-2026-0272,Silicone Phone Case iPhone 15,CAS-009,1,14.99,7,7,0.75,0,21.24,Completed
ORD-2026-0273,Noise Cancelling Headphones,HDP-008,1,129.99,6.7,6.7,6.5,0,130.19,Completed
ORD-2026-0274,Waterproof Sports Smartwatch,WTC-006,1,79.99,8.1,8.1,4,0,84.09,Completed
ORD-2026-0275,Waterproof Sports Smartwatch,WTC-006,1,79.99,12.8,12.8,4,0,88.79,Completed
ORD-2026-0276,Adjustable Laptop Stand,STD-010,1,34.99,3.7,3.7,1.75,10,26.94,Completed
ORD-2026-0277,Premium Wireless Earbuds,EAR-001,1,59.99,12,12,3,0,68.99,Completed
ORD-2026-0278,Ultra-Wide USB-C Monitor,MON-004,1,299.99,5,5,15,0,289.99,Completed
ORD-2026-0279,Adjustable Laptop Stand,STD-010,1,34.99,6.8,6.8,1.75,0,40.04,Completed
ORD-2026-0280,Adjustable Laptop Stand,STD-010,1,34.99,11.3,11.3,1.75,0,44.54,Completed
ORD-2026-0281,Ergonomic Office Chair,CHR-002,1,149.99,3.5,3.5,7.5,0,145.99,Completed
ORD-2026-0282,Mechanical Gaming Keyboard,KEY-003,1,89.99,6.7,6.7,4.5,0,92.19,Completed
ORD-2026-0283,Portable Power Bank 20000mAh,PWR-007,1,39.99,10.5,10.5,2,0,48.49,Completed
ORD-2026-0284,Fast Charging Cable Type-C,CAB-005,1,19.99,10.6,10.6,1,0,29.59,Completed
ORD-2026-0285,Adjustable Laptop Stand,STD-010,1,34.99,4.2,23.08,1.75,0,37.44,Completed
ORD-2026-0286,Mechanical Gaming Keyboard,KEY-003,1,89.99,8.9,8.9,4.5,0,94.39,Completed
ORD-2026-0287,Mechanical Gaming Keyboard,KEY-003,1,89.99,6.1,6.1,4.5,5,86.59,Completed
ORD-2026-0288,Adjustable Laptop Stand,STD-010,1,34.99,8.3,8.3,1.75,0,41.54,Completed
ORD-2026-0289,Fast Charging Cable Type-C,CAB-005,1,19.99,4.9,4.9,1,0,23.89,Completed
ORD-2026-0290,Premium Wireless Earbuds,EAR-001,1,59.99,12.9,12.9,3,0,69.89,Completed
ORD-2026-0291,Premium Wireless Earbuds,EAR-001,1,59.99,6.8,19.37,3,10,53.79,Completed
ORD-2026-0292,Ultra-Wide USB-C Monitor,MON-004,1,299.99,9,9,15,0,293.99,Completed
ORD-2026-0293,Mechanical Gaming Keyboard,KEY-003,1,89.99,4.3,4.3,4.5,5,84.79,Completed
ORD-2026-0294,Adjustable Laptop Stand,STD-010,1,34.99,6.2,6.2,1.75,0,39.44,Completed
ORD-2026-0295,Mechanical Gaming Keyboard,KEY-003,1,89.99,7.7,7.7,4.5,0,93.19,Completed
ORD-2026-0296,Adjustable Laptop Stand,STD-010,1,34.99,11.5,11.5,1.75,5,39.74,Completed
ORD-2026-0297,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.3,10.3,4,0,86.29,Completed
ORD-2026-0298,Ergonomic Office Chair,CHR-002,1,149.99,4.9,4.9,7.5,0,147.39,Completed
ORD-2026-0299,Portable Power Bank 20000mAh,PWR-007,1,39.99,4.1,4.1,2,10,32.09,Completed
ORD-2026-0300,Fast Charging Cable Type-C,CAB-005,1,19.99,3.3,3.3,1,0,22.29,Completed
ORD-2026-0301,Waterproof Sports Smartwatch,WTC-006,1,79.99,8.1,8.1,4,0,84.09,Completed
ORD-2026-0302,Ultra-Wide USB-C Monitor,MON-004,1,299.99,4.3,4.3,15,0,289.29,Completed
ORD-2026-0303,Ergonomic Office Chair,CHR-002,1,149.99,3.4,3.4,7.5,0,145.89,Completed
ORD-2026-0304,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.2,12.2,4.5,0,97.69,Completed
ORD-2026-0305,Adjustable Laptop Stand,STD-010,1,34.99,11,11,1.75,0,44.24,Completed
ORD-2026-0306,Adjustable Laptop Stand,STD-010,1,34.99,12.7,12.7,1.75,0,45.94,Completed
ORD-2026-0307,Premium Wireless Earbuds,EAR-001,1,59.99,7.3,7.3,3,0,64.29,Completed
ORD-2026-0308,Adjustable Laptop Stand,STD-010,1,34.99,11.9,11.9,1.75,0,45.14,Completed
ORD-2026-0309,Noise Cancelling Headphones,HDP-008,1,129.99,6.3,6.3,6.5,0,129.79,Completed
ORD-2026-0310,Ergonomic Office Chair,CHR-002,1,149.99,10.6,10.6,7.5,0,153.09,Completed
ORD-2026-0311,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.2,8.2,2,0,46.19,Completed
ORD-2026-0312,Noise Cancelling Headphones,HDP-008,1,129.99,8.8,23.56,6.5,0,132.29,Completed
ORD-2026-0313,Adjustable Laptop Stand,STD-010,1,34.99,10.5,10.5,1.75,0,43.74,Completed
ORD-2026-0314,Fast Charging Cable Type-C,CAB-005,2,39.98,5.8,5.8,2,0,43.78,Completed
ORD-2026-0315,Fast Charging Cable Type-C,CAB-005,1,19.99,8.7,8.7,1,0,27.69,Completed
ORD-2026-0316,Silicone Phone Case iPhone 15,CAS-009,1,14.99,3.5,3.5,0.75,0,17.74,Completed
ORD-2026-0317,Noise Cancelling Headphones,HDP-008,1,129.99,9.4,9.4,6.5,0,132.89,Completed
ORD-2026-0318,Portable Power Bank 20000mAh,PWR-007,1,39.99,12.8,12.8,2,0,50.79,Completed
ORD-2026-0319,Adjustable Laptop Stand,STD-010,1,34.99,8.6,8.6,1.75,5,36.84,Completed
ORD-2026-0320,Premium Wireless Earbuds,EAR-001,1,59.99,11.3,11.3,3,0,68.29,Completed
ORD-2026-0321,Portable Power Bank 20000mAh,PWR-007,1,39.99,10.6,10.6,2,0,48.59,Completed
ORD-2026-0322,Ergonomic Office Chair,CHR-002,1,149.99,5.7,5.7,7.5,0,148.19,Completed
ORD-2026-0323,Mechanical Gaming Keyboard,KEY-003,1,89.99,10.5,10.5,4.5,0,95.99,Completed
ORD-2026-0324,Mechanical Gaming Keyboard,KEY-003,3,269.97,4.5,4.5,13.5,5,255.97,Completed
ORD-2026-0325,Premium Wireless Earbuds,EAR-001,1,59.99,5.4,17.3,3,0,62.39,Completed
ORD-2026-0326,Silicone Phone Case iPhone 15,CAS-009,1,14.99,4.7,4.7,0.75,0,18.94,Completed
ORD-2026-0327,Silicone Phone Case iPhone 15,CAS-009,1,14.99,6,6,0.75,0,20.24,Completed
ORD-2026-0328,Ergonomic Office Chair,CHR-002,1,149.99,5.6,5.6,7.5,0,148.09,Completed
ORD-2026-0329,Portable Power Bank 20000mAh,PWR-007,1,39.99,9.9,9.9,2,0,47.89,Completed
ORD-2026-0330,Portable Power Bank 20000mAh,PWR-007,1,39.99,9.1,14.55,2,0,47.09,Completed
ORD-2026-0331,Mechanical Gaming Keyboard,KEY-003,1,89.99,6.9,6.9,4.5,0,92.39,Completed
ORD-2026-0332,Ergonomic Office Chair,CHR-002,1,149.99,5.4,5.4,7.5,0,147.89,Completed
ORD-2026-0333,Adjustable Laptop Stand,STD-010,1,34.99,6.2,6.2,1.75,0,39.44,Completed
ORD-2026-0334,Premium Wireless Earbuds,EAR-001,1,59.99,5.9,5.9,3,0,62.89,Completed
ORD-2026-0335,Silicone Phone Case iPhone 15,CAS-009,1,14.99,12,12,0.75,5,21.24,Completed
ORD-2026-0336,Noise Cancelling Headphones,HDP-008,3,389.97,3.1,3.1,19.5,0,373.57,Completed
ORD-2026-0337,Fast Charging Cable Type-C,CAB-005,1,19.99,12.5,12.5,1,10,21.49,Completed
ORD-2026-0338,Noise Cancelling Headphones,HDP-008,1,129.99,11.1,11.1,6.5,0,134.59,Completed
ORD-2026-0339,Mechanical Gaming Keyboard,KEY-003,1,89.99,8.2,8.2,4.5,5,88.69,Completed
ORD-2026-0340,Waterproof Sports Smartwatch,WTC-006,1,79.99,8.1,8.1,4,10,74.09,Completed
ORD-2026-0341,Waterproof Sports Smartwatch,WTC-006,1,79.99,10,10,4,10,75.99,Completed
ORD-2026-0342,Ultra-Wide USB-C Monitor,MON-004,1,299.99,4.8,4.8,15,0,289.79,Completed
ORD-2026-0343,Premium Wireless Earbuds,EAR-001,1,59.99,9.7,9.7,3,0,66.69,Completed
ORD-2026-0344,Ultra-Wide USB-C Monitor,MON-004,1,299.99,3.1,20.01,15,0,288.09,Completed
ORD-2026-0345,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10.6,10.6,15,0,295.59,Completed
ORD-2026-0346,Premium Wireless Earbuds,EAR-001,1,59.99,4.1,4.1,3,10,51.09,Completed
ORD-2026-0347,Premium Wireless Earbuds,EAR-001,1,59.99,6,6,3,0,62.99,Completed
ORD-2026-0348,Fast Charging Cable Type-C,CAB-005,1,19.99,8.5,8.5,1,0,27.49,Completed
ORD-2026-0349,Waterproof Sports Smartwatch,WTC-006,1,79.99,10.5,10.5,4,0,86.49,Completed
ORD-2026-0350,Premium Wireless Earbuds,EAR-001,1,59.99,6.6,6.6,3,0,63.59,Completed
ORD-2026-0351,Fast Charging Cable Type-C,CAB-005,2,39.98,4.1,4.1,2,10,32.08,Completed
ORD-2026-0352,Fast Charging Cable Type-C,CAB-005,1,19.99,6.2,6.2,1,0,25.19,Completed
ORD-2026-0353,Portable Power Bank 20000mAh,PWR-007,1,39.99,7.8,7.8,2,0,45.79,Completed
ORD-2026-0354,Noise Cancelling Headphones,HDP-008,1,129.99,5.3,5.3,6.5,0,128.79,Completed
ORD-2026-0355,Ergonomic Office Chair,CHR-002,1,149.99,3.7,3.7,7.5,0,146.19,Completed
ORD-2026-0356,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5,5,0.75,0,19.24,Completed
ORD-2026-0357,Mechanical Gaming Keyboard,KEY-003,1,89.99,8.7,20.3,4.5,0,94.19,Completed
ORD-2026-0358,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10,10,15,0,294.99,Completed
ORD-2026-0359,Mechanical Gaming Keyboard,KEY-003,1,89.99,3.8,3.8,4.5,0,89.29,Completed
ORD-2026-0360,Ergonomic Office Chair,CHR-002,1,149.99,12.3,12.3,7.5,10,144.79,Completed
ORD-2026-0361,Mechanical Gaming Keyboard,KEY-003,1,89.99,3.8,3.8,4.5,5,84.29,Completed
ORD-2026-0362,Premium Wireless Earbuds,EAR-001,1,59.99,9.1,9.1,3,0,66.09,Completed
ORD-2026-0363,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5.9,5.9,0.75,0,20.14,Completed
ORD-2026-0364,Waterproof Sports Smartwatch,WTC-006,1,79.99,5,5,4,0,80.99,Completed
ORD-2026-0365,Mechanical Gaming Keyboard,KEY-003,1,89.99,6.9,6.9,4.5,0,92.39,Completed
ORD-2026-0366,Portable Power Bank 20000mAh,PWR-007,2,79.98,10.8,10.8,4,10,76.78,Completed
ORD-2026-0367,Silicone Phone Case iPhone 15,CAS-009,2,29.98,11.8,11.8,1.5,0,40.28,Completed
ORD-2026-0368,Waterproof Sports Smartwatch,WTC-006,1,79.99,3.7,3.7,4,0,79.69,Completed
ORD-2026-0369,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.4,6.4,4,0,82.39,Completed
ORD-2026-0370,Noise Cancelling Headphones,HDP-008,1,129.99,5.4,5.4,6.5,0,128.89,Completed
ORD-2026-0371,Ultra-Wide USB-C Monitor,MON-004,1,299.99,7.2,7.2,15,0,292.19,Completed
ORD-2026-0372,Silicone Phone Case iPhone 15,CAS-009,1,14.99,11.3,11.3,0.75,0,25.54,Completed
ORD-2026-0373,Silicone Phone Case iPhone 15,CAS-009,1,14.99,5.6,5.6,0.75,10,9.84,Completed
ORD-2026-0374,Ergonomic Office Chair,CHR-002,1,149.99,12.1,12.1,7.5,5,149.59,Completed
ORD-2026-0375,Silicone Phone Case iPhone 15,CAS-009,1,14.99,9.1,9.1,0.75,0,23.34,Completed
ORD-2026-0376,Waterproof Sports Smartwatch,WTC-006,1,79.99,4.4,19.63,4,0,80.39,Completed
ORD-2026-0377,Ultra-Wide USB-C Monitor,MON-004,1,299.99,11.6,11.6,15,10,286.59,Completed
ORD-2026-0378,Portable Power Bank 20000mAh,PWR-007,1,39.99,7.9,7.9,2,0,45.89,Completed
ORD-2026-0379,Premium Wireless Earbuds,EAR-001,1,59.99,5.7,5.7,3,0,62.69,Completed
ORD-2026-0380,Ergonomic Office Chair,CHR-002,1,149.99,11.5,11.5,7.5,0,153.99,Completed
ORD-2026-0381,Fast Charging Cable Type-C,CAB-005,1,19.99,6,6,1,10,14.99,Completed
ORD-2026-0382,Premium Wireless Earbuds,EAR-001,1,59.99,4.1,4.1,3,0,61.09,Completed
ORD-2026-0383,Adjustable Laptop Stand,STD-010,1,34.99,3.6,3.6,1.75,0,36.84,Completed
ORD-2026-0384,Adjustable Laptop Stand,STD-010,1,34.99,3,3,1.75,0,36.24,Completed
ORD-2026-0385,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.3,6.3,4,0,82.29,Completed
ORD-2026-0386,Ergonomic Office Chair,CHR-002,1,149.99,12,12,7.5,0,154.49,Completed
ORD-2026-0387,Premium Wireless Earbuds,EAR-001,1,59.99,10.2,19.63,15,0,55.19,Completed
ORD-2026-0388,Fast Charging Cable Type-C,CAB-005,1,19.99,4.5,4.5,1,0,23.49,Completed
ORD-2026-0389,Fast Charging Cable Type-C,CAB-005,1,19.99,6.8,6.8,1,0,25.79,Completed
ORD-2026-0390,Mechanical Gaming Keyboard,KEY-003,1,89.99,5.8,17.24,4.5,0,91.29,Completed
ORD-2026-0391,Mechanical Gaming Keyboard,KEY-003,1,89.99,9.6,9.6,4.5,0,95.09,Completed
ORD-2026-0392,Ultra-Wide USB-C Monitor,MON-004,2,599.98,11.7,11.7,30,0,581.68,Completed
ORD-2026-0393,Ergonomic Office Chair,CHR-002,1,149.99,7.3,7.3,7.5,0,149.79,Completed
ORD-2026-0394,Noise Cancelling Headphones,HDP-008,1,129.99,12.4,12.4,6.5,10,125.89,Completed
ORD-2026-0395,Portable Power Bank 20000mAh,PWR-007,1,39.99,5.9,5.9,2,0,43.89,Completed
ORD-2026-0396,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.1,8.1,2,5,41.09,Completed
ORD-2026-0397,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.9,6.9,4,0,82.89,Completed
ORD-2026-0398,Silicone Phone Case iPhone 15,CAS-009,1,14.99,9.1,9.1,0.75,0,23.34,Completed
ORD-2026-0399,Fast Charging Cable Type-C,CAB-005,1,19.99,3.1,3.1,1,10,12.09,Completed
ORD-2026-0400,Silicone Phone Case iPhone 15,CAS-009,1,14.99,4.6,4.6,0.75,0,18.84,Completed
ORD-2026-0401,Noise Cancelling Headphones,HDP-008,1,129.99,5.3,5.3,6.5,5,123.79,Completed
ORD-2026-0402,Ergonomic Office Chair,CHR-002,1,149.99,12.2,12.2,7.5,5,149.69,Completed
ORD-2026-0403,Ultra-Wide USB-C Monitor,MON-004,1,299.99,7.9,7.9,15,0,292.89,Completed
ORD-2026-0404,Premium Wireless Earbuds,EAR-001,1,59.99,11,11,3,5,62.99,Completed
ORD-2026-0405,Mechanical Gaming Keyboard,KEY-003,3,269.97,3.2,3.2,13.5,0,259.67,Completed
ORD-2026-0406,Fast Charging Cable Type-C,CAB-005,1,19.99,7.2,7.2,1,0,26.19,Completed
ORD-2026-0407,Portable Power Bank 20000mAh,PWR-007,1,39.99,9.2,9.2,2,0,47.19,Completed
ORD-2026-0408,Premium Wireless Earbuds,EAR-001,1,59.99,7,7,3,0,63.99,Completed
ORD-2026-0409,Waterproof Sports Smartwatch,WTC-006,1,79.99,9.5,9.5,4,0,85.49,Completed
ORD-2026-0410,Adjustable Laptop Stand,STD-010,1,34.99,8.7,8.7,1.75,0,41.94,Completed
ORD-2026-0411,Mechanical Gaming Keyboard,KEY-003,1,89.99,11.5,11.5,4.5,0,96.99,Completed
ORD-2026-0412,Portable Power Bank 20000mAh,PWR-007,1,39.99,4.8,4.8,2,0,42.79,Completed
ORD-2026-0413,Adjustable Laptop Stand,STD-010,1,34.99,4.6,4.6,1.75,0,37.84,Completed
ORD-2026-0414,Fast Charging Cable Type-C,CAB-005,1,19.99,3.7,3.7,1,0,22.69,Completed
ORD-2026-0415,Portable Power Bank 20000mAh,PWR-007,1,39.99,9.5,9.5,2,0,47.49,Completed
ORD-2026-0416,Adjustable Laptop Stand,STD-010,1,34.99,9.8,9.8,1.75,0,43.04,Completed
ORD-2026-0417,Portable Power Bank 20000mAh,PWR-007,1,39.99,3.7,3.7,2,0,41.69,Completed
ORD-2026-0418,Ergonomic Office Chair,CHR-002,1,149.99,8.2,8.2,7.5,0,150.69,Completed
ORD-2026-0419,Premium Wireless Earbuds,EAR-001,1,59.99,9.2,9.2,3,0,66.19,Completed
ORD-2026-0420,Noise Cancelling Headphones,HDP-008,1,129.99,7.3,7.3,6.5,5,125.79,Completed
ORD-2026-0421,Fast Charging Cable Type-C,CAB-005,1,19.99,4.6,4.6,1,5,18.59,Completed
ORD-2026-0422,Portable Power Bank 20000mAh,PWR-007,1,39.99,5.6,5.6,2,10,33.59,Completed
ORD-2026-0423,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10.8,10.8,15,10,285.79,Completed
ORD-2026-0424,Silicone Phone Case iPhone 15,CAS-009,1,14.99,11.5,11.5,0.75,0,25.74,Completed
ORD-2026-0425,Mechanical Gaming Keyboard,KEY-003,1,89.99,4.3,4.3,4.5,5,84.79,Completed
ORD-2026-0426,Adjustable Laptop Stand,STD-010,1,34.99,8.1,8.1,1.75,0,41.34,Completed
ORD-2026-0427,Ergonomic Office Chair,CHR-002,1,149.99,7.8,7.8,7.5,0,150.29,Completed
ORD-2026-0428,Ultra-Wide USB-C Monitor,MON-004,1,299.99,3.1,3.1,15,0,288.09,Completed
ORD-2026-0429,Ultra-Wide USB-C Monitor,MON-004,1,299.99,12,12,15,5,291.99,Completed
ORD-2026-0430,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.1,6.1,4,0,82.09,Completed
ORD-2026-0431,Ultra-Wide USB-C Monitor,MON-004,2,599.98,11.7,11.7,30,0,581.68,Completed
ORD-2026-0432,Portable Power Bank 20000mAh,PWR-007,1,39.99,4.8,4.8,2,0,42.79,Completed
ORD-2026-0433,Adjustable Laptop Stand,STD-010,1,34.99,10.5,10.5,1.75,0,43.74,Completed
ORD-2026-0434,Portable Power Bank 20000mAh,PWR-007,1,39.99,4.3,4.3,2,10,32.29,Completed
ORD-2026-0435,Silicone Phone Case iPhone 15,CAS-009,1,14.99,7.4,7.4,0.75,0,21.64,Completed
ORD-2026-0436,Noise Cancelling Headphones,HDP-008,1,129.99,5.4,5.4,32.5,5,97.89,Completed
ORD-2026-0437,Ergonomic Office Chair,CHR-002,1,149.99,12.8,12.8,7.5,10,145.29,Completed
ORD-2026-0438,Ultra-Wide USB-C Monitor,MON-004,1,299.99,9.3,9.3,15,0,294.29,Completed
ORD-2026-0439,Mechanical Gaming Keyboard,KEY-003,1,89.99,12.3,12.3,4.5,5,92.79,Completed
ORD-2026-0440,Fast Charging Cable Type-C,CAB-005,1,19.99,7,7,1,0,25.99,Completed
ORD-2026-0441,Premium Wireless Earbuds,EAR-001,1,59.99,5.4,5.4,3,5,57.39,Completed
ORD-2026-0442,Ergonomic Office Chair,CHR-002,1,149.99,4.5,4.5,7.5,10,136.99,Completed
ORD-2026-0443,Noise Cancelling Headphones,HDP-008,1,129.99,5.8,5.8,6.5,0,129.29,Completed
ORD-2026-0444,Portable Power Bank 20000mAh,PWR-007,1,39.99,9,9,2,10,36.99,Completed
ORD-2026-0445,Silicone Phone Case iPhone 15,CAS-009,1,14.99,10.1,10.1,0.75,0,24.34,Completed
ORD-2026-0446,Premium Wireless Earbuds,EAR-001,1,59.99,5.9,5.9,3,0,62.89,Completed
ORD-2026-0447,Noise Cancelling Headphones,HDP-008,1,129.99,7,7,6.5,5,125.49,Completed
ORD-2026-0448,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.8,20.71,4,0,82.79,Completed
ORD-2026-0449,Ultra-Wide USB-C Monitor,MON-004,1,299.99,9.9,9.9,15,0,294.89,Completed
ORD-2026-0450,Ultra-Wide USB-C Monitor,MON-004,1,299.99,11,11,15,0,295.99,Completed
ORD-2026-0451,Ultra-Wide USB-C Monitor,MON-004,1,299.99,8.5,8.5,15,0,293.49,Completed
ORD-2026-0452,Waterproof Sports Smartwatch,WTC-006,1,79.99,6.6,6.6,4,0,82.59,Completed
ORD-2026-0453,Premium Wireless Earbuds,EAR-001,1,59.99,10.9,10.9,3,0,67.89,Completed
ORD-2026-0454,Adjustable Laptop Stand,STD-010,1,34.99,6.9,6.9,1.75,0,40.14,Completed
ORD-2026-0455,Noise Cancelling Headphones,HDP-008,1,129.99,6.5,6.5,6.5,0,129.99,Completed
ORD-2026-0456,Mechanical Gaming Keyboard,KEY-003,1,89.99,4.5,4.5,4.5,0,89.99,Completed
ORD-2026-0457,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10.1,10.1,15,0,295.09,Completed
ORD-2026-0458,Fast Charging Cable Type-C,CAB-005,1,19.99,3.8,3.8,1,0,22.79,Completed
ORD-2026-0459,Noise Cancelling Headphones,HDP-008,3,389.97,10.4,10.4,19.5,0,380.87,Completed
ORD-2026-0460,Premium Wireless Earbuds,EAR-001,1,59.99,10.4,10.4,3,0,67.39,Completed
ORD-2026-0461,Noise Cancelling Headphones,HDP-008,1,129.99,4,4,6.5,0,127.49,Completed
ORD-2026-0462,Ergonomic Office Chair,CHR-002,1,149.99,12.4,12.4,7.5,0,154.89,Completed
ORD-2026-0463,Ultra-Wide USB-C Monitor,MON-004,1,299.99,6.2,6.2,15,0,291.19,Completed
ORD-2026-0464,Portable Power Bank 20000mAh,PWR-007,1,39.99,13,13,2,0,50.99,Completed
ORD-2026-0465,Waterproof Sports Smartwatch,WTC-006,1,79.99,7.3,7.3,4,0,83.29,Completed
ORD-2026-0466,Portable Power Bank 20000mAh,PWR-007,3,119.97,8.9,8.9,6,0,122.87,Completed
ORD-2026-0467,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.7,8.7,2,0,46.69,Completed
ORD-2026-0468,Fast Charging Cable Type-C,CAB-005,1,19.99,9.2,9.2,1,10,18.19,Completed
ORD-2026-0469,Portable Power Bank 20000mAh,PWR-007,1,39.99,12.9,12.9,2,0,50.89,Completed
ORD-2026-0470,Silicone Phone Case iPhone 15,CAS-009,1,14.99,10.3,10.3,0.75,0,24.54,Completed
ORD-2026-0471,Adjustable Laptop Stand,STD-010,1,34.99,8.2,8.2,1.75,5,36.44,Completed
ORD-2026-0472,Ultra-Wide USB-C Monitor,MON-004,1,299.99,3,3,15,0,287.99,Completed
ORD-2026-0473,Mechanical Gaming Keyboard,KEY-003,3,269.97,9.7,9.7,13.5,0,266.17,Completed
ORD-2026-0474,Premium Wireless Earbuds,EAR-001,1,59.99,4.2,4.2,3,0,61.19,Completed
ORD-2026-0475,Waterproof Sports Smartwatch,WTC-006,1,79.99,4.7,4.7,4,0,80.69,Completed
ORD-2026-0476,Ultra-Wide USB-C Monitor,MON-004,1,299.99,10.5,10.5,15,10,285.49,Completed
ORD-2026-0477,Noise Cancelling Headphones,HDP-008,1,129.99,11.9,11.9,6.5,10,125.39,Completed
ORD-2026-0478,Ultra-Wide USB-C Monitor,MON-004,1,299.99,5.7,5.7,15,0,290.69,Completed
ORD-2026-0479,Mechanical Gaming Keyboard,KEY-003,1,89.99,6.9,6.9,4.5,0,92.39,Completed
ORD-2026-0480,Fast Charging Cable Type-C,CAB-005,1,19.99,5.2,5.2,1,0,24.19,Completed
ORD-2026-0481,Ultra-Wide USB-C Monitor,MON-004,1,299.99,12.1,12.1,15,0,297.09,Completed
ORD-2026-0482,Ultra-Wide USB-C Monitor,MON-004,1,299.99,7,17.99,15,10,281.99,Completed
ORD-2026-0483,Mechanical Gaming Keyboard,KEY-003,1,89.99,7.3,7.3,4.5,0,92.79,Completed
ORD-2026-0484,Portable Power Bank 20000mAh,PWR-007,1,39.99,3.5,3.5,2,0,41.49,Completed
ORD-2026-0485,Premium Wireless Earbuds,EAR-001,1,59.99,9,27.97,3,0,65.99,Completed
ORD-2026-0486,Silicone Phone Case iPhone 15,CAS-009,1,14.99,8.2,8.2,0.75,5,17.44,Completed
ORD-2026-0487,Fast Charging Cable Type-C,CAB-005,1,19.99,9.1,9.1,1,0,28.09,Completed
ORD-2026-0488,Portable Power Bank 20000mAh,PWR-007,1,39.99,8.8,24.6,2,10,36.79,Completed
ORD-2026-0489,Waterproof Sports Smartwatch,WTC-006,1,79.99,9.5,9.5,4,10,75.49,Completed
